title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,wikipedia_link,year
Women Talking,,2023-01-06T00:00:00Z,"drama film, film based on book",Sarah Polley,104,tt13669038,,23,https://en.wikipedia.org/wiki/Women_Talking,2023
Infinity Pool,,2023-01-21T00:00:00Z,"horror film, science fiction film, mystery film",Brandon Cronenberg,117,tt10365998,,23,https://en.wikipedia.org/wiki/Infinity_Pool,2023
EO,,2023-02-21T00:00:00Z,"drama film, road movie",Jerzy Skolimowski,86,tt19652910,,23,https://en.wikipedia.org/wiki/EO,2023
Pearl,,2023-04-09T00:00:00Z,"psychological horror, slasher film",Ti West,102,tt18925334,,23,https://en.wikipedia.org/wiki/Pearl,2023
Ghosted,,2023-04-21T00:00:00Z,"action film, romantic comedy, romance film, action-adventure film",Dexter Fletcher,116,tt15326988,,23,https://en.wikipedia.org/wiki/Ghosted,2023
Strays,,2023-08-17T00:00:00Z,"comedy film, adventure film",Josh Greenbaum,93,tt15153532,,23,https://en.wikipedia.org/wiki/Strays,2023
Hit Man,,2023-09-05T00:00:00Z,"black comedy, thriller film, action comedy film, black comedy film",Richard Linklater,115,tt20215968,,23,https://en.wikipedia.org/wiki/Hit_Man,2023
The Iron Claw,,2023-11-08T00:00:00Z,"drama film, biographical film, sport film",Sean Durkin,132,tt21064584,,23,https://en.wikipedia.org/wiki/The_Iron_Claw,2023
La chimera,,2023-05-26T00:00:00Z,"fantasy film, adventure film, comedy drama",Alice Rohrwacher,130,tt14561712,,23,https://en.wikipedia.org/wiki/La_chimera,2023
All of Us Strangers,,2023-08-31T00:00:00Z,"fantasy film, romance film",Andrew Haigh,105,tt21192142,,23,https://en.wikipedia.org/wiki/All_of_Us_Strangers,2023
Dumb Money,,2023-01-01T00:00:00Z,"drama film, comedy film, biographical film, comedy drama, film based on book",Craig Gillespie,105,tt13957560,,23,https://en.wikipedia.org/wiki/Dumb_Money,2023
Io capitano,,2023-09-06T00:00:00Z,"drama film, adventure film, docudrama",Matteo Garrone,121,tt14225838,,23,https://en.wikipedia.org/wiki/Io_capitano,2023
Once Upon a Studio,,2023-06-11T00:00:00Z,"crossover fiction, live-action/animated film, fantasy comedy film","Dan Abraham, Trent Correy",9,tt28035641,,23,https://en.wikipedia.org/wiki/Once_Upon_a_Studio,2023
Ladybug & Cat Noir: The Movie,,2023-07-05T00:00:00Z,"drama film, fantasy film, comedy film, action film, adventure film, musical film, family film, superhero film",Jeremy Zag,105,tt10364034,,23,https://en.wikipedia.org/wiki/Ladybug_%26_Cat_Noir%3A_The_Movie,2023
Chicken Run: Dawn of the Nugget,,2023-12-08T00:00:00Z,"comedy film, adventure film, family film",Sam Fell,97,tt8337264,,23,https://en.wikipedia.org/wiki/Chicken_Run%3A_Dawn_of_the_Nugget,2023
One Piece Film: Red,,2023-01-26T00:00:00Z,"fantasy film, comedy film, action film, adventure film",Gorō Taniguchi,115,tt16183464,,22,https://en.wikipedia.org/wiki/One_Piece_Film%3A_Red,2023
Terrifier 2,,2023-02-21T00:00:00Z,"horror film, slasher film",Pepe,138,tt10403420,,22,https://en.wikipedia.org/wiki/Terrifier_2,2023
Decision to Leave,,2023-02-02T00:00:00Z,"drama film, romance film, mystery film, police film",Park Chan-wook,138,tt12477480,,22,https://en.wikipedia.org/wiki/Decision_to_Leave,2023
